Year,Country,Title
2010,United States,30 Days of Night: Dark Days
2010,United States,2001 Maniacs: Field of Screams
2010,United States,Alice in Murderland
2010,United States,Bereavement
2010,United States,Black Swan
2010,United States,Blood Junkie
2010,United States,Chain Letter
2010,United States,The Crazies
2010,United States,Dahmer Vs. Gacy
2010,United States,Dead Exit
2010,United States,The Frankenstein Syndrome
2010,United States,Frozen
2010,United States,Hard Ride to Hell
2010,United States,Hatchet II
2010,United States,I Am Virgin
2010,United States,I Spit on Your Grave
2010,United States,Insidious
2010,United States,L.A. Zombie
2010,United States,The Last Exorcism
2010,United States,Mongolian Death Worm
2010,United States,My Soul to Take
2010,United States,A Nightmare on Elm Street
2010,United States,Paranormal Activity 2
2010,United States,Piranha 3-D
2010,United States,The Presence
2010,United States,Puppet Master: Axis of Evil
2010,United States,The Rig
2010,United States,Satan Hates You
2010,United States,Saw 3D
2010,United States,Shelter
2010,United States,Stake Land
2010,United States,The Tenant
2010,United States,Thankskilling
2010,United States,Tucker & Dale vs Evil
2010,United States,The Ward
2010,United States,The Wolfman
2011,United States,
2011,United States,Absentia
2011,United States,The Afflicted
2011,United States,All Superheroes Must Die
2011,United States,Apollo 18
2011,United States,Bag of Bones
2011,United States,Bloody Bloody Bible Camp
2011,United States,Chillerama
2011,United States,Dear God No!
2011,United States,Detention
2011,United States,Don't Be Afraid of the Dark
2011,United States,Drive Angry
2011,United States,Dylan Dog: Dead of Night
2011,United States,Exit 33
2011,United States,Final Destination 5
2011,United States,Fright Night
2011,United States,Hellraiser: Revelations
2011,United States,Hostel: Part III
2011,United States,I Was a Teenage Werebear
2011,United States,The Innkeepers
2011,United States,Paranormal Activity 3
2011,United States,Quarantine 2: Terminal
2011,United States,Red Riding Hood
2011,United States,Red State
2011,United States,Scream 4
2011,United States,Shark Night 3D
2011,United States,Stitched
2011,United States,The Task
2011,United States,The Thing
2011,United States,Twixt
2011,United States,The Wicker Tree
2011,United States,The Woman
2011,United States,You're Next
2012,United States,2-Headed Shark Attack
2012,United States,41255
2012,United States,The ABCs of Death
2012,United States,The Amazing Adventures of the Living Corpse
2012,United States,Awake in the Woods
2012,United States,The Battery
2012,United States,The Bay
2012,United States,Bigfoot: The Lost Coast Tapes
2012,United States,Bloody Bloody Bible Camp
2012,United States,The Cabin in the Woods
2012,United States,Chernobyl Diaries
2012,United States,The Collection
2012,United States,Cross Bearer
2012,United States,Dark Shadows
2012,United States,The Devil Inside
2012,United States,Evil Head
2012,United States,Excision
2012,United States,Foodfight!
2012,United States,Foreclosure
2012,United States,Found
2012,United States,Frankenweenie
2012,United States,Grave Encounters 2
2012,United States,John Dies at the End
2012,United States,Killer Kart
2012,United States,The Lords of Salem
2012,United States,Lovely Molly
2012,United States,No One Lives
2012,United States,The Pact
2012,United States,Paranormal Activity 4
2012,United States,Piranha 3DD
2012,United States,The Possession
2012,United States,Prometheus
2012,United States,Scary or Die
2012,United States,Silent House
2012,United States,Silent Night
2012,United States,Sinister
2012,United States,Smiley
2012,United States,ThanksKilling 3
2012,United States,Underworld: Awakening
2012,United States,V/H/S
2013,United States,Alpha Girls
2013,United States,Avenged
2013,United States,Axeman
2013,United States,Bad Milo!
2013,United States,Carrie
2013,United States,Curse of Chucky
2013,United States,The Conjuring
2013,United States,Dark Skies
2013,United States,The Demon's Rook
2013,United States,Evil Dead
2013,United States,Fright Night 2: New Blood
2013,United States,Hatchet III
2013,United States,The Haunting in Connecticut 2: Ghosts of Georgia
2013,United States,I Spit on Your Grave 2
2013,United States,Jug Face
2013,United States,The Last Exorcism Part II
2013,United States,Phantom Of The Woods
2013,United States,Texas Chainsaw 3D
2013,United States,V/H/S/2
2013,United States,We Are What We Are
2013,United States,Willow Creek
2013,United States,World War Z
2014,United States,ABCs of Death 2
2014,United States,Annabelle
2014,United States,Army of Frankensteins
2014,United States,"As Above, So Below"
2014,United States,Bag Boy Lover Boy
2014,United States,The Butchers
2014,United States,Cabin Fever: Patient Zero
2014,United States,The Cabining
2014,United States,Creep
2014,United States,Deliver Us from Evil
2014,United States,Devil's Due
2014,United States,"I, Frankenstein"
2014,United States,Jessabelle
2014,United States,Life After Beth
2014,United States,Oculus
2014,United States,Paranormal Activity: The Marked Ones
2014,United States,The Purge: Anarchy
2014,United States,See No Evil 2
2014,United States,Sharknado 2: The Second One
2014,United States,Slit
2014,United States,Stage Fright
2014,United States,Strange Blood
2014,United States,TEN
2014,United States,Through the Devil's Eyes
2014,United States,The Town That Dreaded Sundown
2014,United States,Tusk
2014,United States,Zombeavers
2015,United States,The Abandoned
2015,United States,The Atticus Institute
2015,United States,Bound to Vengeance
2015,United States,"Bullets, Fangs and Dinner at 8"
2015,United States,Crimson Peak
2015,United States,Dead Rising: Watchtower
2015,United States,Demonic
2015,United States,The Final Girls
2015,United States,The Gallows
2015,United States,The Gift
2015,United States,Goosebumps
2015,United States,Insidious: Chapter 3
2015,United States,The Invitation
2015,United States,Krampus
2015,United States,Krampus: The Reckoning
2015,United States,The Lazarus Effect
2015,United States,Maggie
2015,United States,Paranormal Activity: The Ghost Dimension
2015,United States,Poltergeist
2015,United States,Rorschach
2015,United States,Scouts Guide to the Zombie Apocalypse
2015,United States,Sharknado 3: Oh Hell No!
2015,United States,Sinister 2
2015,United States,Tremors 5: Bloodlines
2015,United States,The Visit
2015,United States,Volumes of Blood
2015,United States,We Are Still Here
2015,United States,The Witch
2016,United States,Antibirth
2016,United States,The Autopsy of Jane Doe
2016,United States,The Belko Experiment
2016,United States,Blair Witch
2016,United States,Blood of the Tribades
2016,United States,The Boy
2016,United States,The Blackout Experiments
2016,United States,Cabin Fever
2016,United States,Cell
2016,United States,The Conjuring 2
2016,United States,The Darkness
2016,United States,Dead 7
2016,United States,The Devil's Dolls
2016,United States,Don't Breathe
2016,United States,Don't Kill It
2016,United States,The Eyes of My Mother
2016,United States,Split
2016,United States,Fender Bender
2016,United States,The Forest
2016,United States,Holidays
2016,United States,Home
2016,United States,Hush
2016,United States,Krampus Unleashed
2016,United States,Lights Out
2016,United States,The Love Witch
2016,United States,Martyrs
2016,United States,Morgan
2016,United States,Ouija: Origin of Evil
2016,United States,Phantasm: Ravager
2016,United States,Pride and Prejudice and Zombies
2016,United States,The Purge: Election Year
2016,United States,"Sweet, Sweet Lonely Girl"
2016,United States,The Veil
2016,United States,Volumes of Blood: Horror Stories
2017,United States,Aliens: Zone of Silence
2017,United States,Amityville: The Awakening
2017,United States,Annabelle: Creation
2017,United States,The Belko Experiment
2017,United States,The Bye Bye Man
2017,United States,Creep 2
2017,United States,Cult of Chucky
2017,United States,The Evil Within
2017,United States,Flatliners
2017,United States,Happy Death Day
2017,United States,Get Out
2017,United States,It
2017,United States,Jackals
2017,United States,Jeepers Creepers 3
2017,United States,Jigsaw
2017,United States,Kuso
2017,United States,Leatherface
2017,United States,Little Evil
2017,United States,Mother!
2017,United States,Phoenix Forgotten
2017,United States,Rings
2017,United States,Romeo's Distress
2017,United States,Sharknado 5: Global Swarming
2017,United States,Underworld: Blood Wars
2017,United States,Unlisted Owner
2017,United States,Wish Upon
2017,United States,XX
2018,United States,American Exorcist
2018,United States,Annihilation
2018,United States,Bad Samaritan
2018,United States,Boarding School
2018,United States,Cam
2018,United States,Children of the Corn: Runaway
2018,United States,The Cloverfield Paradox
2018,United States,Day of the Dead: Bloodline
2018,United States,Delirium
2018,United States,The First Purge
2018,United States,Goosebumps 2: Haunted Halloween
2018,United States,Halloween
2018,United States,Hellraiser: Judgment
2018,United States,Hereditary
2018,United States,Insidious: The Last Key
2018,United States,Mandy
2018,United States,Mom and Dad
2018,United States,The Nun
2018,United States,The Open House
2018,United States,Overlord
2018,United States,Patient Zero
2018,United States,The Predator
2018,United States,Puppet Master: The Littlest Reich
2018,United States,A Quiet Place
2018,United States,Slender Man
2018,United States,The Strangers: Prey at Night
2018,United States,Truth or Dare
2018,United States,Unfriended: Dark Web
2018,United States,Unsane
2018,United States,Wildling
2018,United States,Winchester
2019,United States,3 from Hell
2019,United States,Annabelle Comes Home
2019,United States,Brightburn
2019,United States,Child's Play
2019,United States,Crawl
2019,United States,Escape Room
2019,United States,Happy Death Day 2U
2019,United States,Haunt
2019,United States,It Chapter 2
2019,United States,Ma
2019,United States,Midsommar
2019,United States,Pet Sematary
2019,United States,The Prodigy
2019,United States,Ready or Not
2019,United States,Scary Stories to Tell in the Dark
2019,United States,Sweetheart
2019,United States,The Curse of La Llorona
2019,United States,The Russian Bride [es]
2019,United States,Us
2019,United States,Velvet Buzzsaw
