Title,Year,
1 More Hit,2007,
2 Fists Up,2016,
2016: Obama's America,2012,
4,2007,
4 Little Girls,1997,
500 Dunam on the Moon,2002,
500 Years Later,,
"6th Marine Division on Okinawa, The",1945,
9/11: Press for Truth,2006,
10 MPH,2007,
10 Questions for the Dalai Lama,2006,
"The 11th Hour, The",2007,
12th & Delaware,2010,
13th,2016,
16 Days in Afghanistan,2008,
51 Birch Street,2005,
80 Blocks From Tiffany's,1983,
102 Minutes that Changed America,2008,
911: In Plane Site,2006,
A[edit],,
ABC Africa,2001,
Abduction: The Megumi Yokota Story,2006,
About Baghdad,2004,
A Brony Tale,2014,
A Very Heavy Agenda,2016,
An Act of Conscience,1997,
A Jihad for Love,2007,
A Whore Like Me,2019,
Adam Clayton Powell,1989,
Advocate,2019,
Africa,2013,
"Age of Stupid, The",2009,
Agee,1980,
"Agronomist, The",2003,
Aileen Wuornos: The Selling of a Serial Killer,1994,
Aileen: Life and Death of a Serial Killer,2003,
"Air Force, Incorporated",2006,
Alaska Wilderness Lake,1971,
Alice: Ignorance Is Bliss,2014,
Aliens of the Deep,2005,
All Aboard! Rosie's Family Cruise,2006,
All in This Tea,2007,
Almost Sunrise,2016,
Alone across Australia,2004,
Amarillo by Morning,1997,
America's Heart and Soul,2004,
America: Freedom to Fascism,2006,
America: Imagine the World Without Her,2014,
American Fugitive: The Truth About Hassan,2006,
American Beer,2002,
American Bellydancer,2005,
American: The Bill Hicks Story,2009,
American Dream,1990,
American Hardcore,2006,
American Harmony,2008,
American Jobs,2004,
American Movie,1999,
American Pimp,1999,
American Scary,2006,
American Zeitgeist,2006,
"American Ruling Class, The",2005,
Amy,2015,
"Anderson Platoon, The",1967,
Andrew and Jeremy Get Married,2004,
"Animal World, The",1956,
"American Opera, An: The Greatest Pet Rescue Ever!",2007,
Anne Frank Remembered,1995,
Answering the Call: Ground Zero's Volunteers,2006,
Antonia: A Portrait of the Woman,1974,
Anti-Semitism in the 21st Century: The Resurgence,2007,
Anvil! The Story of Anvil,2008,
APEX: The Story of the Hypercar,2015,
Arakimentari,2004,
Apollo 11,2019,
Are the Kids Alright?,2003,
"Aristocrats, The",2005,
Arlington West: The Film,2006,
Art Is... The Permanent Revolution,2012,
Artie Shaw: Time Is All You've Got,1986,
Ashkenaz,2007,
"At Night, They Dance",2011,
Atomic Ed and the Black Hole,2002,
Attack of Life: The Bang Tango Movie,2016,
Audience of One,2007,
Ayn Rand: A Sense of Life,1997,
"Back of Beyond, The",1954,
Backstreet Boys: Show 'Em What You're Made Of,2015,
Baghdad ER,2006,
Bam 6.6,2007,
Bangkok Girl,2005,
Baraka,1992,
Barefoot to Herat,2002,
Baseball†,1994,
Batas Militar,1997,
Battle for the Tiara,1998,
"Battle of San Pietro, The",1945,
"Beatles: The First U.S. Visit, The",1994,
Beats of the Antonov,2014,
Beautiful Losers,2007,
"Beautiful Planet, A",2016,
The Beautiful Game,2012,
Between Rings,2014,
"Before Stonewall, After Stonewall†",1984–1999,
Before the Music Dies,2006,
Before We Forget,2011,
Being Osama,2004,
The Beirut Apt,2007,
Bells from the Deep: Faith and Superstition in Russia,1993,
Beltracchi: The Art of Forgery,2014,
Best Boy,1979,
Best Friend Forgotten,2004,
"Betrayal – Nerakhoon, The",2008,
Beyond Belief,2007,
Beyond Hatred,2005,
Beyond the Call,2006,
Beyond the Gates of Splendor,2004,
Beyond the Heights,2015,
Bicycle Dreams,2009,
Big Brother and the Holding Co. With Janis Joplin: Nine Hundred Nights,2001,
Big Dreamers,2007,
Biggie and Tupac,2002,
The Big Melt,2013,
"Big One, The",1998,
Bill Nye: Science Guy,2017,
"Birth of Saké, The",2015,
Bitter Jester,2003,
Black Chicks Talking,2001,
Black Fox: The Rise and Fall of Adolf Hitler,1962,
"Black Panthers: Vanguard of the Revolution, The",2015,
Black Tar Heroin: The Dark End of the Street,1999,
Blackfish,2013,
"Blank Generation, The",1976,
"Blood of Yingzhou District, The",2006,
Blue Vinyl,2002,
Body of War,2007,
"Bomb, The (PBS film)",2015,
Bomb Harvest,2007,
Border,2007,
Born in the USSR: 21 Up,2005,
Born into Brothels: Calcutta's Red Light Kids,2004,
Born Rich,2003,
Bougainville – Our Island Our Fight,1998,
Bowling for Columbine,2002,
"Boy Named Sue, A",2000,
Bra Boys: Blood is Thicker than Water,2007,
Breaking the Silence: Truth and Lies in the War on Terror,2003,
BRIC: The New World,2010,
"Bridegroom: A Love Story, Unequaled",2013,
"Bridge, The",2006,
"Brief History of Time, A",1991,
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016,
Bring on the Night,1985,
Britney: For the Record,2008,
Broken Branches,2014,
Brooklyn Bridge,1981,
Bros: After the Screaming Stops,2018,
Buena Vista Social Club,1999,
Bugs Bunny: Superstar,1975,
Bukowski,1973,
Burden of Dreams,1982,
Buried Country,2003,
Burma VJ,2008,
Bus 174,2002,
Bunkar: The Last of the Varanasi Weavers,2018,
Buy Bye Beauty,2001,
,,
"California Reich, The",1975,
Call + Response,2008,
Call Me Kuchu,2012,
Call Me Lucky,2015,
Call of the Wild,2007,
Calle 54,2000,
Cancer (PBS film),2015,
Cane Toads: An Unnatural History,1988,
Cannibal Tours,1988,
Capitalism: A Love Story,2009,
Captain Mike Across America,2007,
Capturing the Friedmans,2003,
Casino Jack and the United States of Money,2010,
Castro Street,1966,
"Cats of Mirikitani, The",2006,
Cave of Forgotten Dreams,2010,
"Celluloid Closet, The",1996,
Celsius 41.11,2004,
The Cemetery Club,2006,
Chain Camera,2001,
Chang,1927,
Chasing Coral,2017,
Cheat You Fair: The Story of Maxwell Street,2007,
Chernobyl Heart,2003,
Chicken Ranch,1983,
Chile: When Will It End?,1986,
China Blue,2005,
Chronicle of a Summer,1960,
Cinerama Adventure,2002,
City of Water,2007,
"City, The",1939,
"Civil War, The",1990,
Client 9: The Rise and Fall of Eliot Spitzer,2010,
"Climb, The",2007,
"Closer Walk, A",2003,
Cocaine Cowboys,2006,
Cocaine Cowboys 2,2008,
Cocksucker Blues,1972,
Coldplay: A Head Full of Dreams,2018,
Color Adjustment 1992 Marlon Riggs,,
Comandante,2003,
Comic Book Confidential,1988,
"Congo River, Beyond Darkness",2005,
"Conquest of Everest, The",1953,
Control Room,2004,
"Corporation, The",2003,
Cosmic Voyage,1996,
Cosmos: A Personal Voyage,1980,
Courting Condi,2008,
"Cove, The",2009,
Crazy English,1999,
Crazy Love,2007,
"Creators, The",2011,
Crime After Crime,2011,
Cruel and Unusual,2006,
Crumb,1994,
"Daddy of Rock 'N' Roll, The",2003,
Dalai Lama Renaissance,2007,
Dangerous Living: Coming Out in the Developing World,2003,
Darius Goes West,2007,
Darwin's Nightmare,2004,
Dave Chappelle's Block Party,2006,
Day of the Fight,1951,
"Day the Universe Changed, The",1985,
Dead On: The Life and Cinema of George A. Romero,2008,
Dear Zachary: A Letter to a Son About His Father,2008,
Death Faces,1988,
Death for Five Voices,1995,
Death on the Rock,1988,
"Decline of Western Civilization, The, Part II: The Metal Years, Part III†",1981–1998,
Destination Hitchcock: The Making of North by Northwest,2000,
"Devil and Daniel Johnston, The",2006,
"Devil Came on Horseback, The",2007,
Diana's Hair Ego,1991,
"Diary for Timothy, A",1945,
Die andere Liebe (The Other Love),1988,
Diego Maradona,2019,
Dimona Twist,2016,
"Diplomat, The",2015,
Divine Trash,1998,
Dixie Chicks: Shut Up and Sing,2006,
Do I Sound Gay?,2014,
Documentary for the Recently Deceased,Fred China,
Dont Look Back,1967,
Down and Out in America,1986,
Down from the Mountain,2000,
Drew: The Man Behind the Poster,2013,
Dust to Dust: The Health Effects of 9/11,2006,
D'art,2019,
Eames: The Architect and the Painter,2011,
Earthlings,2005,
Echoes from a Somber Empire,1990,
Eclipse of Reason,1987,
"Elephant in the Living Room, The",2010,
"Elephant Queen, The",2019,
"Emperor's Naked Army Marches On, The",1987,
Empire of the Air: The Men Who Made Radio,1992,
Encounters at the End of the World,2008,
"End of America, The",2008,
"End of Suburbia, The",2004,
Enron: The Smartest Guys in the Room,2005,
Everything's Cool,2007,
Ex Libris: The New York Public Library,2017,
Expedition: Bismarck,2002,
Expelled: No Intelligence Allowed,2008,
Exploratorium,1974,
Expo: Magic of the White City,2005,
Exposing Homelessness,2006,
Eyes and Ears of God – Video surveillance of Sudan,2012,
Facing Sudan,2007,
For Which We Stand,2014,
Facing the Music,2001,
Fagbug,2009,
Fahrenheit 9/11,2004,
FahrenHYPE 9/11,2004,
Fairytale of Kathmandu,2007,
Fambul Tok,2011,
"Fast, Cheap & Out of Control",1997,
Favela Rising,2006,
Fear of a Black Republican,2011,
"Fearless Freaks, The",2005,
Feiyu Show,2014,
Festival Express,2003,
Fig Trees,2009,
Fight for the Planet,2009,
Fighting Norway,1943,
"Film Unfinished, A",2010,
"Final Quarter, The",2019,
Final Score,2007,
Finders Keepers,2015,
Finding Kraftland,2006,
First Contact,1983,
Fires Were Started,1943,
The Five Obstructions,2003,
Flow: For Love of Water,2008,
Flying Padre,1951,
"Fog of War, The: Eleven Lessons from the Life of Robert S. McNamara",2003,
"Food, Inc.",2008,
Football Under Cover,2008,
For All Mankind,1989,
For the Bible Tells Me So,2007,
Forbidden Fruit,2000,
Forbidden Lie$,2007,
Forbidden Love: The Unashamed Stories of Lesbian Lives,1992,
Freakonomics,2010,
Fred Ott's Sneeze,1894,
Frederick Douglass and the White Negro,2008,
Free Solo,2018,
Freedom Fields,2018,
"Frida, en trotjänarinna",1999,
Front Line,1981,
FUCK,2005,
"Funny Thing Happened on the Way to the Moon, A",2001,
"Future of Food, The",2004,
ID–WITHOUTCOLORS,2013,
If a Tree Falls: A Story of the Earth Liberation Front,2011,
,,
Imagine: John Lennon,1988,
"Importance of Being Icelandic, The",1998,
In Bad Taste,2000,
In Her Footsteps,2017,
In the Basement,2014,
In Search of the Second Amendment,2006,
In the Realm of the Hackers,2002,
In the Land of the Head Hunters,1914,
In the Shadow of the Moon,2006,
Incident at Oglala,1992,
Innocence,2005,
"Inconvenient Truth, An",2006,
An Inconvenient Truth...Or Convenient Fiction?,2007,
An Inconvenient Sequel: Truth to Power,2017,
Indian School,2007,
Inside Deep Throat,2005,
Inside Job,2010,
Invisible Children,2003,
I.O.U.S.A.,2008,
Iran (is not the problem),2008,
Iraq for Sale: The War Profiteers,2006,
Iraq in Fragments,2007,
Is Genesis History?,2017,
Island Soldier,2017,
It Might Get Loud,2009,
Italy in a Day,2014,
"Kid Stays in the Picture, The",2002,
Killer's Paradise,2007,
The King – Jari Litmanen,2012,
"King of Kong, The: A Fistful of Quarters",2007,
King Gimp,1999,
Know Your Mushrooms,2008,
Kokoda Front Line,1942,
Kon-Tiki,1950,
Koyaanisqatsi: Life out of Balance,1983,
Kurt and Courtney,1998,
Kurt Cobain: Montage of Heck,2015,
,,
Machine of Human Dreams,2016,
Madonna: Truth or Dare,1991,
Mad Hot Ballroom,2005,
Maidentrip,2014,
Making North America,2015,
Mala Mala,2014,
Malcolm X: Make It Plain,1994,
"Man Called Brian, A",2005,
Man from Plains,2007,
Man of Aran,1934,
Man on Wire,2008,
"Man Who Skied Down Everest, The",1975,
Man with a Movie Camera,1929,
Mandela,1996,
Manifestations of Shiva,1980,
Manson,1973,
Manufacturing Consent: Noam Chomsky and the Media,1992,
March of the Penguins,2005,
Marjoe,1972,
"Mark of the Maker, The",1991,
Mark Twain,2001,
Marlene,1984,
Married in America,2002,
Marx Reloaded,2011,
Maya Lin: A Strong Clear Vision,1994,
McCullin,2012,
Meeting Gorbachev,2018,
Meeting Resistance,2007,
Meet the Patels,2015,
"Memory of Justice, The",1976,
The Memphis Belle: A Story of a Flying Fortress,1944,
Meru,2007,
"Messenger, The",2015,
Metal: A Headbanger's Journey,2005,
Metal Evolution†,2011,
Michael Jackson's This Is It,2009,
Michael Moore Hates America,2004,
Midnight Movies: From the Margin to the Mainstream,2005,
Million Calorie March: The Movie,2008,
Moana,1926,
Mojados: Through the Night,2004,
Monster Camp,2007,
Morning Sun,2003,
"Mosuo Sisters, The",2012,
"Mouth of the Wolf, The",2009,
Mr. Big,2007,
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,
"Murder of Fred Hampton, The",1971,
Murder on a Sunday Morning,2001,
Murderball,2005,
Music for the Movies: Bernard Herrmann,1992,
My Architect,2003,
My Best Fiend,1999,
My Flesh and Blood,2003,
My Generation,2000,
My Kid Could Paint That,2007,
Mysterious Castles of Clay,1978,
"Mystery of Matter, The (PBS film)",2014,
"Nalini by Day, Nancy by Night",2005,
Nanking,2007,
Nanook of the North: A Story Of Life and Love In the Actual Arctic ,1922,
National Bird,2016,
National Lampoon: Drunk Stoned Brilliant Dead,2015,
Naushad Ali,1975,
Nefarious: Merchant of Souls,2011,
Neil Young: Heart of Gold,2006,
Neil Young Trunk Show,2009,
Nema Aviona Za Zagreb,2012,
Nerdcore Rising,2008,
Nicaragua Was Our Home,1986,
Night and Fog,1955,
Night Mail,1936,
Nitrate Kisses,1992,
No Direction Home: Bob Dylan,2005,
No End in Sight,2007,
No Impact Man,2009,
No Place Like Home,2006,
Not a Love Story: A Film About Pornography,1981,
Note by Note: The Making of Steinway L1037,2007,
NYHC,1999,
Occupation: Dreamland,2005,
Oliver Stone's Untold History of the United States†,2012,
Olympia,1938,
On Two Fronts: Latinos & Vietnam',2015,
ONE: The Movie,2005,
One Big Hapa Family,2010,
One Minute to Nine,2007,
"One Percent, The",2006,
One Six Right: The Romance of Flying,2005,
One Small Step: The Story of the Space Chimps,2003,
Operation Homecoming: Writing the Wartime Experience,2007,
"Operation Wedding: My parents & the plane ""hijacking""",2016,
"Original Kings of Comedy, The",2000,
Ota Benga Documentary Film,2015,
Otaku Unite!,2004,
"Other Side of AIDS, The",2004,
Out of Place,2009,
Out of the Shadow,2004,
Outfoxed: Rupert Murdoch's War on Journalism,2004,
"Outsider, The",2005,
Palio,2015,
"Panama Deception, The",1992,
Paperback Dreams,2008,
Paper Clips,2004,
The Passionate Pursuits of Angela Bowen,2016,
Pavarotti,2019,
Patti Smith: Dream of Life,2008,
Peace Officer,2015,
Peggy Guggenheim: Art Addict,2015,
Persona Non Grata,2003,
"Place Between, A – The Story of an Adoption",2007,
"Place Called Chiapas, A",1998,
"Place in Time, A",2007,
"Place to Live, A",1941,
Plagues & Pleasures on the Salton Sea,2004,
"Plow That Broke the Plains, The",1936,
Poetry in Motion,1982,
Point and Shoot,2014,
Point of Order,1964,
Pola Negri: Life is a Dream in Cinema,2006,
Pond Hockey,2008,
Porn Star: The Legend of Ron Jeremy,2001,
Portrait of Gina,1958,
Powaqqatsi: Life in Transformation,1988,
Pray for Japan,2012,
Pray the Devil Back to Hell,2008,
Predictions of Fire,1996,
Pride Divide,1997,
Primary,1960,
Prince Among Slaves,,
Prodigal Sons,2008,
Project Grizzly,1996,
Prophet's Prey,2015,
Protected: The Truth About Palm Island,1975,
Pumping Iron,1977,
Pumping Iron II: The Women,1985,
Punk's Not Dead,2007,
The Punk Singer,2013,
Quantum Hoops,2007,
"Queens of Comedy, The",2001,
"Quinceañera, La",2007,
Racing Dreams,2009,
Racing Extinction,2015,
Radiant City,2006,
Race to Nowhere,2009,
"Rape of Europa, The",2007,
Rats & Bullies: The Dawn-Marie Wesley Story,2004,
Raw Opium,2011,
Reagan,2011,
"Real Dirt on Farmer John, The",2005,
Red State,2006,
Recovered: Journeys Through the Autism Spectrum and Back,2008,
"Red String, The",2004,
"Reflektor Tapes, The",2015,
Refusenik,2008,
Religulous,2008,
Rembrandt's J'Accuse,2008,
Remembering Arthur,2006,
Restrepo,2010,
Resurrect Dead: The Mystery of the Toynbee Tiles,2011,
Richard Hammond Meets Evel Knievel,2007,
Rien que les heures,1926,
Ring of Fire,1991,
Rita Dove: An American Poet,2013,
"River, The",1938,
Roam Sweet Home,1996,
Rock 'n' Roll Junkie,1994,
Roger & Me,1989,
Rolling Papers,2015,
"Roosevelts, The",2014,
"Root of All Evil?, The",2006,
Rose Kennedy: A Life to Remember,1990,
Rosenwald,2015,
Round Eyes in the Middle Kingdom,1995,
Samba on Your Feet,2006,
S&Man,2006,
Sacred Planet,2004,
Sacro GRA,2013,
"Saimaa Gesture, The",1981,
"Saigon, U.S.A.",2004,
Salesman,1969,
Samsara,2011,
Satanis: The Devil's Mass,1970,
"Saved, The",1998,
Scared Straight!,1978,
Scenes of a Crime,2012,
Scottsboro: An American Tragedy,2001,
Scott Walker: 30 Century Man,2006,
"Seafarers, The",1953,
Seal Island,1948,
Sea Monsters: A Prehistoric Adventure,2007,
Search for the Super Battery,2017,
Second Skin,2008,
"Seine Meets Paris, The",1957,
Sembene!,2015,
Seoul Train,2005,
"September Issue, The",2009,
The Seven Tapes,2012,
Sex Slaves,2005,
Seymour: An Introduction,2014,
The Shakers,1974,
"Shame of a City, The",2006,
Shape of the Moon,2004,
"Shark is Still Working, The",2006,
Sharkwater,2007,
Shikashika,2008,
Shoah,1985,
Shore Things,1996,
Sicko,2007,
"Silent Historian, The",2011,
"Silent Scream, The",1984,
"Silent World, The",1956,
"Sinister Saga of Making ""The Stunt Man"", The",2001,
Sketches of Frank Gehry,2005,
Skinheads USA: Soldiers of the Race War,1993,
SlamNation,1998,
Slasher: an IFC Original,2004,
Sluizer Speaks,2014,
"Smashing Machine, The: The Life and Times of Extreme Fighter Mark Kerr",2002,
So Goes the Nation,2006,
Soldier Girls,1981,
Song of Ceylon,1934,
"Sorrow and the Pity, The",1971,
Sotsgorod: Cities for Utopia,1996,
South of the Border,2009,
South of the Border With Disney,1942,
Speaking in Strings,1999,
Spellbound,2002,
Spencer Halpin's Moral Kombat,2007,
"Square, The",1994,
Standard Operating Procedure,2008,
Standing in the Shadows of Motown,2002,
State of Fear: The Truth about Terrorism,2005,
Staten Island Catapult,2005,
Station to Station,2014,
Stations of the Elevated,1981,
Station 58,2008,
"Statue of Liberty, The",1985,
Stevie,2002,
Still Kicking: Six Artistic Women of Project Arts & Longevity,2006,
Still We Believe: The Boston Red Sox Movie,2004,
Street Fight,2005,
Stolen Honor,2004,
Stopping Traffic,2017,
"Story of Healing, A",1997,
"Story of Stuff, The",2007,
Streetwise,1984,
Strong Island,2017,
"Summer in the Cage, A",2007,
Sundown: The Future of Children and Drugs,1991,
Sunset Strip,2012,
Super High Me,2007,
Super Size Me,2004,
Superjews,2013,
Surplus,2003,
Sweet Crude,2008,
Tab Hunter Confidential,2015,
Tall: The American Skyscraper and Louis Sullivan,2006,
Takin Place,2015,
Tar Creek,2009,
Target for Tonight,1941,
Tarnation,2003,
Taste of China,2015,
Taxi to the Dark Side,2007,
"Ten-Year Lunch, The",1987,
Tender Fictions,1996,
(T)error,2015,
That's Dancing!,1985,
There Is No Authority But Yourself,2006,
They Shall Not Grow Old,2018,
Thin,2006,
"Thin Blue Line, The",1988,
Thinking XXX,2004,
This Changes Everything,2015,
This Divided State,2005,
This Film Is Not Yet Rated,2006,
This Is Elvis,1982,
"Thorn in the Heart, The",2009,
Through a Blue Lens,1999,
"Tillman Story, The",2010,
Time Bombs,2008,
"Times of Harvey Milk, The",1984,
Tintin and I,2003,
"Titan, The: Story of Michelangelo",1950,
Titanic: The Complete Story,1994,
Titicut Follies,1967,
To Shoot an Elephant,2009,
ToryBoy The Movie,2011,
Touching the Void,2003,
Traceroute,2016,
Train Life,2006,
Transparent,2005,
"Tree That Remembers, The",2002,
Trembling Before G-d,2001,
"Trials of Henry Kissinger, The",2002,
Trinidad,2008,
Triumph of the Will,1935,
Troop 1500,2005,
Troublesome Creek: A Midwestern,1995,
"True Glory, The",1945,
The Truth According to Wikipedia,2008,
Tulip Time: The Rise and Fall of the Trio Lescano,2008,
Tunisian Victory,1944,
Tupac: Assassination,2007,
Tupac: Resurrection,2003,
Twist of Faith,2005,
Tyson,2008,
The Hacker Wars,2014,
Thariode,2019,
U2 3D,2007,
U2: Rattle and Hum,1988,
Über Goober: A Film about Gamers,2004,
Umbrella,2007,
Unbranded,2015,
Unchained Memories,,
Uncovered: The War on Iraq,2004,
Undefeated,2011,
The Underground Eiger,1979,
Unfinished Symphony: Democracy and Dissent,2001,
Unmistaken Child,2008,
The Up Series†,1964–2005,
V-Day: Until the Violence Stops,2003,
Vanishing of the Bees,2009,
"Vanishing Prairie, The",1954,
Veenavaadanam,2008,
"Vernon, Florida",1981,
Very Semi-Serious,2015,
Victory Through Air Power,1943,
Voices of Bam,2006,
Voices of Iraq,2004,
Volcanic Sprint,2007,
"Voyage that Shook the World, The",2009,
Wal-Mart: The High Cost of Low Price,2005,
"Walking with...: Dinosaurs, Beasts, Caveman, Monsters†",1999–2005,
Walt Disney,2015,
War/Dance,2007,
"War at Home, The",1979,
War Made Easy: How presidents & Pundits Keep Spinning Us to Death,2007,
Warrendale,1967,
Waste Land,2010,
We Come as Friends,2014,
We Were So Beloved,1985,
"Welcome to Durham, USA",2007,
Welcome to Leith,2015,
Welcome to Macintosh,2008,
Welcome to Nollywood,2007,
Werner Herzog Eats His Shoe,1980,
Wham! in China: Foreign Skies,1986,
What Remains of Us,2004,
What Would Jesus Buy?,2007,
Wheel of Time,2003,
When I Came Home,2006,
When Brummies Met Sindhis,2008,
When the Levees Broke: A Requiem in Four Acts,2006,
When We Were Kings,1996,
Where Have All the Flowers Gone?,2008,
Where in the World is Osama Bin Laden?,2008,
Where's My Roy Cohn?,2019,
"White Diamond, The",2004,
White: A Season in the Life of John Borden Evans,2014,
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,
Whitney,2018,
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,
Who Killed the Electric Car?,2006,
Why Wal-Mart Works; and Why That Drives Some People C-R-A-Z-Y,2005,
Why We Fight,2005,
Wiener Takes All: A Dogumentary,2007,
Wild Man Blues,1998,
Winter Soldier,1972,
Without the King,2007,
Winged Migration,2001,
Woodstock,1970,
Wordplay,2006,
"World Before Her, The",2012,
"World's Best Prom, The",2006,
"World of Charlie Company, The",1970,
"World Without US, The",2008,
Wrath of Gods,2007,
"Write down, I Am an Arab",2014,
Woubi Chéri,1998,
"Year and a Half in the Life of Metallica, A",1992,
Year at Danger,2007,
"Yes, we fuck!",2015,
"Young, Jewish, and Left",2006,
Your Mommy Kills Animals,2007,
Youth in Crisis,1943,
Zeitgeist: the Movie†,2007–2011,
Zero Days,2016,
Zielen Van Napels,2005,
Zoo,2007,
