IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt1407049,Altitude,movie,2010,"Canada, USA","Horror, Mystery, Sci-Fi, Thriller",2 wins & 2 nominations.,Anchor Bay Entertainment,R,N/A,4.8,"9,554"
tt1937088,Alien Vs Ninja,movie,2014,USA,Comedy,N/A,N/A,N/A,N/A,N/A,N/A
tt1523267,Arctic Blast,movie,2010,"Australia, Canada","Action, Adventure, Drama, Sci-Fi, Thriller",N/A,FG Film Productions,N/A,N/A,3.9,"3,361"
tt1569923,Batman: Under the Red Hood,movie,2010,USA,"Animation, Action, Crime, Drama, Sci-Fi, Thriller",1 nomination.,WARNER BROTHERS PICTURES,PG-13,N/A,8.1,"50,517"
tt1534085,Beyond the Black Rainbow,movie,2010,Canada,"Horror, Sci-Fi, Thriller",5 wins.,Magnolia Pictures,R,49,6.1,"11,335"
tt1037705,The Book of Eli,movie,2010,USA,"Action, Adventure, Drama, Thriller",3 wins & 16 nominations.,Warner Bros. Pictures,R,53,6.9,"276,550"
tt0455407,The Crazies,movie,2010,"USA, United Arab Emirates","Horror, Thriller",11 nominations.,Overture Films,R,55,6.5,"106,068"
tt0433362,Daybreakers,movie,2009,"Australia, USA","Action, Fantasy, Horror, Sci-Fi, Thriller",3 wins & 6 nominations.,Lionsgate,R,57,6.4,"118,279"
tt1194424,Denizen,movie,2010,USA,"Action, Horror, Sci-Fi",2 wins & 3 nominations.,N/A,N/A,N/A,5.4,81
tt1323594,Despicable Me,movie,2010,"USA, France","Animation, Comedy, Family, Fantasy",Nominated for 1 Golden Globe. Another 3 wins & 40 nominations.,Universal Pictures,PG,72,7.6,"474,013"
tt1572781,The Disappearance of Haruhi Suzumiya,movie,2010,Japan,"Animation, Comedy, Drama, Mystery, Sci-Fi",N/A,N/A,Not Rated,N/A,8.1,"5,586"
tt1351636,Downstream,movie,2009,UK,Documentary,N/A,Philip Kim,N/A,N/A,8.2,6
tt1305797,Enthiran,movie,2010,India,"Action, Sci-Fi",11 wins & 6 nominations.,Ficus,Not Rated,N/A,7.1,"23,277"
tt1337055,Future X-Cops,movie,2010,"Hong Kong, Taiwan","Action, Sci-Fi",N/A,N/A,N/A,N/A,3.5,797
tt1300159,Growth,movie,2010,USA,"Horror, Sci-Fi",N/A,STARZ MEDIA LLC.,Not Rated,N/A,4.7,"3,291"
tt1231587,Hot Tub Time Machine,movie,2010,USA,"Comedy, Sci-Fi",5 nominations.,MGM,R,63,6.4,"156,019"
tt1270291,Hunter Prey,movie,2010,USA,"Sci-Fi, Thriller",N/A,N/A,N/A,N/A,5.8,"5,747"
tt1375666,Inception,movie,2010,"USA, UK","Action, Adventure, Sci-Fi, Thriller",Won 4 Oscars. Another 152 wins & 204 nominations.,Warner Bros. Pictures,PG-13,74,8.8,"1,893,414"
tt1228705,Iron Man 2,movie,2010,USA,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. Another 7 wins & 42 nominations.,Paramount Studios,PG-13,57,7.0,"674,273"
tt1494772,Justice League: Crisis on Two Earths,movie,2010,USA,"Animation, Action, Sci-Fi",N/A,WARNER BROTHERS PICTURES,PG-13,N/A,7.3,"22,317"
tt1523483,Kaboom,movie,2010,"USA, France","Comedy, Mystery, Romance, Sci-Fi, Thriller",1 win & 2 nominations.,IFC Films,Not Rated,64,5.7,"11,940"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1754177,Mardock Scramble: The First Compression,movie,2010,Japan,"Animation, Action, Drama, Sci-Fi, Thriller",N/A,Anime Network,TV-MA,N/A,6.6,"1,173"
tt1001526,Megamind,movie,2010,USA,"Animation, Action, Comedy, Family, Sci-Fi",2 wins & 16 nominations.,Paramount Studios/DWA,PG,63,7.2,"212,540"
tt1470827,Monsters,movie,2010,"UK, Mexico, Guatemala","Adventure, Drama, Romance, Sci-Fi, Thriller",Nominated for 1 BAFTA Film Award. Another 13 wins & 13 nominations.,Magnolia Pictures,R,63,6.4,"85,010"
tt1590796,Mutant Girls Squad,movie,2010,Japan,"Comedy, Fantasy, Horror, Sci-Fi, Thriller",N/A,Well Go,Not Rated,N/A,5.8,"1,514"
tt1334260,Never Let Me Go,movie,2010,UK,"Drama, Romance, Sci-Fi",7 wins & 26 nominations.,Fox Searchlight Pictures,R,69,7.1,"131,415"
tt1424381,Predators,movie,2010,USA,"Action, Adventure, Sci-Fi, Thriller",2 wins & 4 nominations.,20th Century Fox,R,51,6.4,"203,167"
tt1053424,Repo Men,movie,2010,"Canada, USA","Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller",2 nominations.,Universal Studios,R,32,6.3,"97,092"
tt1220634,Resident Evil: Afterlife,movie,2010,"Germany, France, USA, Canada, UK","Action, Adventure, Horror, Sci-Fi",2 wins & 8 nominations.,Sony Pictures/Screen Gems,R,37,5.8,"155,260"
tt1320296,Shank,movie,2010,UK,"Action, Comedy, Crime, Drama, Sci-Fi, Thriller",N/A,Revolver Entertainment,Unrated,N/A,4.2,"3,183"
tt1564585,Skyline,movie,2010,USA,"Action, Sci-Fi, Thriller",1 nomination.,Rogue Pictures/Universal Studios,PG-13,26,4.4,"84,445"
tt1477109,Space Battleship Yamato,movie,2010,Japan,"Action, Adventure, Drama, Sci-Fi",1 win & 1 nomination.,Eleven Arts,TV-14,N/A,6.1,"5,638"
tt1673430,Superman/Batman: Apocalypse,movie,2010,USA,"Animation, Action, Adventure, Sci-Fi",N/A,WARNER BROTHERS PICTURES,PG-13,N/A,7.1,"22,664"
tt1104001,TRON: Legacy,movie,2010,USA,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. Another 10 wins & 49 nominations.,Walt Disney Pictures,PG,49,6.8,"300,155"
tt1288403,Universal Soldier: Regeneration,movie,2009,USA,"Action, Adventure, Sci-Fi",N/A,Sony Pictures Home Entertainment,R,70,5.2,"23,954"
tt1216520,Womb,movie,2010,"Germany, Hungary, France","Drama, Romance, Sci-Fi",1 win & 1 nomination.,Olive Films,Not Rated,48,6.4,"12,684"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1385826,The Adjustment Bureau,movie,2011,USA,"Romance, Sci-Fi, Thriller",1 win & 9 nominations.,Universal Pictures,PG-13,60,7.0,"231,206"
tt1699114,All-Star Superman,movie,2011,USA,"Animation, Action, Sci-Fi",1 win & 1 nomination.,WARNER BROTHERS PICTURES,PG,N/A,7.0,"12,844"
tt1836212,All Superheroes Must Die,movie,2011,USA,"Sci-Fi, Thriller",N/A,Image Entertainment,Unrated,N/A,3.9,"2,012"
tt1549572,Another Earth,movie,2011,USA,"Drama, Romance, Sci-Fi",7 wins & 13 nominations.,Fox Searchlight,PG-13,66,7.0,"86,690"
tt1772240,Apollo 18,movie,2011,"USA, Canada","Horror, Mystery, Sci-Fi, Thriller",1 win & 2 nominations.,The Weinstein Company,PG-13,24,5.2,"52,042"
tt1470846,Area Q.,movie,2011,"USA, Brazil","Sci-Fi, Thriller",N/A,N/A,N/A,N/A,4.3,367
tt0480239,Atlas Shrugged: Part I,movie,2011,USA,"Drama, Mystery, Sci-Fi",1 win.,Rocky Mountain Pictures,PG-13,28,5.7,"12,653"
tt1478964,Attack the Block,movie,2011,"UK, France, USA","Action, Comedy, Sci-Fi, Thriller",Nominated for 1 BAFTA Film Award. Another 20 wins & 36 nominations.,Screen Gems,R,75,6.6,"95,095"
tt1217613,Battle Los Angeles,movie,2011,USA,"Action, Adventure, Fantasy, Mystery, Sci-Fi",1 win & 3 nominations.,Sony Pictures/Columbia Pictures,PG-13,37,5.7,"168,564"
tt0458339,Captain America: The First Avenger,movie,2011,USA,"Action, Adventure, Sci-Fi",3 wins & 46 nominations.,Paramount Pictures,PG-13,66,6.9,"687,569"
tt2994904,Cowboys,movie,2013,Croatia,"Comedy, Drama",2 wins & 2 nominations.,N/A,N/A,N/A,7.1,903
tt1093357,The Darkest Hour,movie,2011,"USA, Russia","Action, Adventure, Horror, Sci-Fi, Thriller",1 nomination.,Summit Entertainment,PG-13,18,4.9,"55,650"
tt1947998,Dear God No!,movie,2011,USA,"Comedy, Horror",3 wins.,Big World Pictures,Not Rated,N/A,4.5,"1,520"
tt1298554,Eva,movie,2011,"Spain, France","Drama, Fantasy, Sci-Fi",15 wins & 28 nominations.,The Weinstein Company,PG-13,57,6.7,"9,043"
tt0079859,Uno sceriffo extraterrestre... poco extra e molto terrestre,movie,1979,Italy,"Action, Comedy, Family, Sci-Fi",1 win.,N/A,N/A,N/A,6.2,"3,188"
tt1525835,Gantz,movie,2010,Japan,"Action, Horror, Sci-Fi",1 win & 1 nomination.,NCM/Fathom,Not Rated,N/A,6.5,"6,712"
tt1525836,Gantz: Perfect Answer,movie,2011,Japan,"Action, Horror, Mystery, Sci-Fi",N/A,N/A,Not Rated,N/A,6.3,"3,608"
tt0459748,Generation P,movie,2011,"Russia, USA","Comedy, Drama, Sci-Fi",1 win & 4 nominations.,Vitagraph Films,N/A,65,6.8,"3,050"
tt1133985,Green Lantern,movie,2011,USA,"Action, Adventure, Sci-Fi",3 wins & 6 nominations.,Warner Bros. Pictures,PG-13,39,5.5,"255,638"
tt1683043,Green Lantern: Emerald Knights,movie,2011,USA,"Animation, Action, Adventure, Fantasy, Sci-Fi",1 nomination.,WARNER BROTHERS PICTURES,PG,N/A,6.8,"11,437"
tt1643222,Hell,movie,2011,"Germany, Switzerland","Horror, Sci-Fi, Thriller",11 wins & 15 nominations.,Arc Entertainment,R,N/A,5.8,"11,318"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1464540,I Am Number Four,movie,2011,"USA, India","Action, Adventure, Sci-Fi, Thriller",1 win & 1 nomination.,DreamWorks Studios,PG-13,36,6.1,"220,414"
tt1637688,In Time,movie,2011,USA,"Action, Sci-Fi, Thriller",2 nominations.,20th Century Fox,PG-13,53,6.7,"351,291"
tt1219289,Limitless,movie,2011,USA,"Sci-Fi, Thriller",2 wins & 8 nominations.,Relativity Media,PG-13,59,7.4,"501,624"
tt3774694,Love,movie,2015,"France, Belgium","Drama, Romance",2 wins & 1 nomination.,Alchemy,Not Rated,51,6.1,"39,185"
tt2048804,Mardock Scramble: The Second Combustion,movie,2011,Japan,"Animation, Sci-Fi, Thriller",4 nominations.,Anime Network,TV-MA,N/A,6.3,732
tt1305591,Mars Needs Moms,movie,2011,USA,"Animation, Action, Adventure, Family, Sci-Fi",2 nominations.,Walt Disney Pictures,PG,49,5.4,"20,073"
tt1527186,Melancholia,movie,2011,"Denmark, Sweden, France, Germany","Drama, Sci-Fi",34 wins & 89 nominations.,Magnolia Pictures,R,80,7.1,"156,564"
tt1092026,Paul,movie,2011,"USA, UK","Adventure, Comedy, Sci-Fi",2 wins & 9 nominations.,Universal Pictures,R,57,7.0,"223,958"
tt1568816,Phase 7,movie,2010,Argentina,"Sci-Fi, Thriller",1 win & 6 nominations.,Collective,R,N/A,5.9,"2,976"
tt0822847,Priest,movie,2011,USA,"Action, Horror, Thriller",3 nominations.,Screen Gems/SONY PICTURES,PG-13,41,5.7,"109,733"
tt1374990,The Prodigies,movie,2011,"UK, India, Belgium, Canada, Luxembourg, France","Animation, Action, Drama, Horror, Sci-Fi, Thriller",N/A,Fidélité Films,N/A,N/A,5.8,"1,532"
tt1562871,Ra.One,movie,2011,"India, USA","Action, Adventure, Sci-Fi",10 wins & 6 nominations.,Eros Entertainment,Not Rated,60,4.6,"36,091"
tt0433035,Real Steel,movie,2011,"USA, India","Action, Drama, Family, Sci-Fi, Sport",Nominated for 1 Oscar. Another 2 wins & 5 nominations.,Walt Disney Pictures,PG-13,56,7.1,"286,246"
tt1318514,Rise of the Planet of the Apes,movie,2011,"USA, UK, Canada","Action, Drama, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 21 wins & 42 nominations.,20th Century Fox,PG-13,68,7.6,"478,673"
tt0945513,Source Code,movie,2011,"USA, Canada","Action, Drama, Mystery, Sci-Fi, Thriller",1 win & 8 nominations.,Summit Entertainment,PG-13,74,7.5,"459,647"
tt1650062,Super 8,movie,2011,USA,"Mystery, Sci-Fi, Thriller",11 wins & 67 nominations.,Paramount Pictures,PG-13,72,7.0,"323,941"
tt0084787,The Thing,movie,1982,USA,"Horror, Mystery, Sci-Fi",3 nominations.,Universal Pictures,R,57,8.1,"338,201"
tt0800369,Thor,movie,2011,USA,"Action, Adventure, Fantasy",5 wins & 30 nominations.,Paramount Pictures,PG-13,57,7.0,"700,873"
tt1399103,Transformers: Dark of the Moon,movie,2011,USA,"Action, Adventure, Sci-Fi",Nominated for 3 Oscars. Another 10 wins & 39 nominations.,Paramount Studios,PG-13,42,6.2,"370,724"
tt1270798,X-Men: First Class,movie,2011,"USA, UK","Action, Adventure, Sci-Fi",20 wins & 38 nominations.,20th Century Fox,PG-13,65,7.7,"619,607"
tt1190080,2012,movie,2009,USA,"Action, Adventure, Sci-Fi",5 wins & 21 nominations.,Sony Pictures/Columbia,PG-13,49,5.8,"333,818"
tt2078523,009 Re: Cyborg,movie,2012,Japan,"Animation, Action, Sci-Fi",4 nominations.,N/A,TV-14,N/A,5.9,443
tt2196430,Alien Origin,movie,2012,USA,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",N/A,WARNER BROTHERS PICTURES,Not Rated,N/A,1.9,"1,435"
tt0948470,The Amazing Spider-Man,movie,2012,USA,"Action, Sci-Fi",2 wins & 31 nominations.,Sony Pictures,PG-13,66,6.9,"534,354"
tt0848228,The Avengers,movie,2012,USA,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. Another 38 wins & 79 nominations.,Walt Disney Pictures,PG-13,69,8.0,"1,204,899"
tt2313197,"Batman: The Dark Knight Returns, Part 1",movie,2012,USA,"Animation, Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller",5 nominations.,WARNER BROTHERS PICTURES,PG-13,N/A,8.0,"48,452"
tt1440129,Battleship,movie,2012,USA,"Action, Adventure, Sci-Fi, Thriller",4 wins & 15 nominations.,Universal,PG-13,41,5.8,"227,736"
tt1368440,Branded,movie,2012,"USA, Russia","Drama, Fantasy, Thriller",N/A,Barbossa/Roadside Attraction,R,20,4.7,"8,550"
tt1706593,Chronicle,movie,2012,USA,"Drama, Sci-Fi, Thriller",2 wins & 7 nominations.,20th Century Fox,PG-13,69,7.0,"231,570"
tt1371111,Cloud Atlas,movie,2012,"Germany, USA, Hong Kong, Singapore, China","Action, Drama, Mystery, Sci-Fi",Nominated for 1 Golden Globe. Another 16 wins & 75 nominations.,Warner Bros. Pictures,R,55,7.4,"330,800"
tt1343727,Dredd,movie,2012,"UK, South Africa, USA, India","Action, Crime, Sci-Fi",2 wins & 14 nominations.,Lionsgate Films,R,60,7.1,"238,474"
tt1535616,The Divide,movie,2011,"USA, Germany, Canada, France","Drama, Horror, Sci-Fi, Thriller",1 win & 5 nominations.,Anchor Bay Entertainment,R,28,5.8,"34,055"
tt1525366,Grabbers,movie,2012,"Ireland, UK","Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",4 wins & 10 nominations.,IFC,Not Rated,62,6.3,"16,025"
tt1392170,The Hunger Games,movie,2012,USA,"Action, Adventure, Sci-Fi, Thriller",Nominated for 1 Golden Globe. Another 33 wins & 47 nominations.,Lionsgate,PG-13,68,7.2,"805,111"
tt1034314,Iron Sky,movie,2012,"Finland, Germany, Australia","Action, Comedy, Sci-Fi",4 wins & 2 nominations.,Entertainment One Pictures,R,N/A,5.9,"88,781"
tt0401729,John Carter,movie,2012,USA,"Action, Adventure, Sci-Fi",2 wins & 8 nominations.,Walt Disney Pictures,PG-13,51,6.6,"245,129"
tt2027128,Justice League: Doom,movie,2012,USA,"Animation, Action, Fantasy, Sci-Fi",5 wins & 5 nominations.,WARNER BROTHERS PICTURES,PG-13,N/A,7.5,"28,417"
tt1592525,Lockout,movie,2012,France,"Action, Sci-Fi, Thriller",1 nomination.,FilmDistrict,PG-13,48,6.1,"90,251"
tt1276104,Looper,movie,2012,"USA, China","Action, Crime, Drama, Sci-Fi, Thriller",16 wins & 45 nominations.,Sony Pictures,R,84,7.4,"507,423"
tt2423504,Mardock Scramble: The Third Exhaust,movie,2012,Japan,"Animation, Action, Drama, Sci-Fi, Thriller",3 nominations.,Anime Network,TV-MA,N/A,6.5,570
tt1638277,Mars et Avril,movie,2012,Canada,"Drama, Fantasy, Music",1 win & 10 nominations.,Mars et Avril Inc.,NOT RATED,N/A,5.9,678
tt1409024,Men in Black 3,movie,2012,"USA, United Arab Emirates","Action, Adventure, Comedy, Sci-Fi",1 win & 13 nominations.,Sony Pictures,PG-13,58,6.8,"317,824"
tt1446714,Prometheus,movie,2012,"USA, UK","Adventure, Mystery, Sci-Fi",Nominated for 1 Oscar. Another 6 wins & 46 nominations.,20th Century Fox,R,64,7.0,"546,304"
tt1855325,Resident Evil: Retribution,movie,2012,"Germany, Canada, USA, France, UK","Action, Horror, Sci-Fi, Thriller",2 wins & 5 nominations.,Screen Gems,R,39,5.4,"126,969"
tt1990314,Robot & Frank,movie,2012,USA,"Comedy, Crime, Drama, Sci-Fi",2 wins & 6 nominations.,Samuel Goldwyn Films,PG-13,67,7.1,"59,867"
tt1862079,Safety Not Guaranteed,movie,2012,USA,"Comedy, Drama, Romance",7 wins & 18 nominations.,Film District,R,72,7.0,"113,249"
tt1307068,Seeking a Friend for the End of the World,movie,2012,USA,"Adventure, Comedy, Drama, Romance, Sci-Fi",3 nominations.,Focus Features,R,59,6.7,"102,787"
tt0969345,Strange Frame: Love & Sax,movie,2012,USA,"Animation, Crime, Music",2 wins.,Wolfe Video,N/A,N/A,7.6,"1,696"
tt2085930,Starship Troopers: Invasion,movie,2012,"Japan, USA","Animation, Action, Sci-Fi",1 nomination.,Sony Pictures Home Entertainment,R,N/A,5.9,"10,317"
tt1986953,Storage 24,movie,2012,UK,"Action, Horror, Mystery, Sci-Fi, Thriller",1 nomination.,N/A,R,52,4.4,"6,291"
tt2224455,Superman vs. The Elite,movie,2012,USA,"Animation, Action, Sci-Fi",1 win & 3 nominations.,WARNER BROTHERS PICTURES,PG-13,N/A,7.1,"11,574"
tt0100802,Total Recall,movie,1990,"USA, Mexico","Action, Sci-Fi, Thriller",Nominated for 2 Oscars. Another 8 wins & 14 nominations.,TriStar Pictures,R,57,7.5,"282,914"
tt1867101,Thermae Romae,movie,2012,"Japan, Italy","Comedy, Sci-Fi",2 wins & 1 nomination.,N/A,N/A,N/A,6.4,"1,891"
tt1374992,Upside Down,movie,2012,"Canada, France","Drama, Fantasy, Romance, Sci-Fi",6 nominations.,Millenium Entertainment,PG-13,45,6.4,"67,197"
tt1298649,The Watch,movie,2012,USA,"Action, Comedy, Horror, Sci-Fi",2 nominations.,20th Century Fox,R,36,5.7,"117,228"
tt1815862,After Earth,movie,2013,USA,"Action, Adventure, Mystery, Sci-Fi",3 wins & 8 nominations.,Sony Pictures,PG-13,33,4.8,"184,040"
